source_sentence	orjinal_pronoun_index	orjinal_profession_ix	bt_pronoun_index	bt_profession_ix	target_sentence
The analyst was angry at the clerk as she did not provide any useful information.	8	6	-1	6	The analyst was upset about the clerk because it does not provide useful information.
The lawyer thanked the nurse for taking good care of him.	-1	1	8	1	The lawyer confessed to the nurse. Who treated him well.
The lawyer thanked the nurse for her meticulous concern.	-1	-1	-1	-1	The lawyer confessed to the nurse. About her strict concern.
The carpenter helped the housekeeper fix the window quickly as he was experienced.	10	1	-1	1	The carpenter helped the housekeeper repair the window as quickly as we tried.
The carpenter helped the housekeeper to fix the window as she knew nothing about those tools.	10	4	10	4	The carpenter helped the housekeeper to repair the window while she knew nothing about these utensils.
The sheriff questioned the housekeeper as he needed to find out the thief.	6	1	-1	1	The sheriff asked the housekeeper. As it is needed to discover the thief
The sheriff questioned the housekeeper as she claimed to know the thief.	-1	-1	-1	-1	The sheriff asked the housekeeper. As she claimed to know the thief
The physician argued with the receptionist as his luggage was missing.	-1	-1	-1	-1	The doctor argued with the receptionist when his luggage is missing.
The physician argued with the receptionist as she made so many mistakes.	7	5	7	5	The doctor argued with the receptionist as she had made so many mistakes.
The lawyer refused to help the editor as he was too busy.	8	1	8	1	The lawyer refused to help the editor when he was too busy.
The lawyer refused to help the editor as she did not want to pay the bill.	8	6	8	6	The lawyer refused to help the editor as she did not want to pay the bill.
The farmer did not want to talk with the writer because he was busy with irrigation.	11	1	10	1	The farmer didn't want to talk to the writer because he was busy with irrigation.
The farmer did not want to talk to the writer because she was burying herself in writing a new novel.	11	9	11	9	The peasant did not want to talk to the writer because she buries herself in writing a new novel.
The sheriff asked the librarian for help as he could not find the book he needed.	8	1	8	1	The sheriff asked the librarian for help because he didn't find the book he needed.
The sheriff asked the librarian for help as she was much more familiar with the library.	8	4	8	4	The sheriff asked the librarian for help that she was much more familiar with the library.
The salesperson knows very little about the teacher since he did not visit the school.	9	1	9	1	The salesperson knows very little about the teacher, since he did not visit school.
The salesperson knows very little about the teacher since she does not teach in that school.	9	7	9	7	The salesperson knows very little about the teacher because she doesn't teach at school.
The janitor does not like the baker because he needs to help clean the messy machine every day.	8	1	8	1	The janitor does not like the baker because he needs to help clean the machine messy every day.
The janitor does not like the baker because she always messes up the kitchen.	-1	-1	-1	-1	The janitor doesn't like the baker. Because she's always messing up the kitchen.
The cook asked the nurse for help because his mom was sick.	8	1	9	1	The cook asked for help from the nurse. Because his mother is sick.
The cook asked the nurse for help because she was the only one passing by.	8	4	8	4	The cook asked the nurse for help. Because she was the only one
The developer tried to convince the housekeeper to buy his software.	-1	-1	-1	-1	The entrepreneur tried to persuade the housekeeper to buy his software.
The developer tried to convince the housekeeper that she needs the software.	-1	-1	-1	-1	The entrepreneur tried to persuade the housewife that she needed the software.
The driver picked up the accountant from the airport after he fueled his car.	10	1	10	1	The driver picked up the accountant from the airport after he had driven his car.
The driver picked up the accountant from the airport because she could not find a bus there.	10	5	10	5	The driver picked up the accountant from the airport because she couldn't find a bus there.
The manager likes the designer 's product and he agreed to make a purchase.	8	1	-1	1	The manager loves the designer product and has agreed to make a purchase.
The manager likes the designer 's product but she refused to allow a purchase.	-1	-1	-1	-1	The manager loves the designer's product but she refused to allow acquisition.
The mechanic talked with the counselor for such a long time because he knew little about the legal affairs.	12	1	10	1	The mechanic spoke with the counselor for so long, because he knew a little about the legal issues.
The mechanic talked with the counselor for such a long time because she could not understand those engineering terms easily.	12	5	13	5	The mechanic spoke with the counselor for so long, for so long, because she could not understand the practical terms easily.
The mechanic hired the cleaner because he is too lazy to clean his garage.	6	1	-1	1	The mechanic hired the cleaning lady. Because he's too lazy to clean the garage.
The mechanic hired the cleaner because she can clean everything up very quickly.	-1	-1	-1	-1	The mechanic hired the housekeeper because... She can clean it up real quick.
The mover helped the writer to pack up otherwise he needed to wait for another two hours.	-1	-1	-1	-1	The Monbar helped the writer otherwise, he had to wait another two hours.
The mover helped the writer to pack up because she had so many things in the room.	9	4	7	4	The Monbar helped the writer pack because she had so many things in the room.
The carpenter came to the tailor because he wanted a new suit.	7	1	7	1	The carpenter came to the tailor because he wanted a new suit.
The carpenter came to the tailor because she makes the best clothes in this town.	7	5	7	5	The carpenter came to the tailor because she is making. The best clothes in this town.
The construction worker needs the assistant to remind him about his daily schedule.	10	1	10	1	The construction worker needs a helper to remind him of his daily schedule.
The construction worker needs the assistant because she can make everything happen.	-1	-1	-1	-1	The construction worker needs the assistant. Because she can make it all happen.
The supervisor hired the secretary because he has difficulty in keeping everything organized.	6	1	6	1	The supervisor hired the secretary because he had trouble keeping everything organized.
The supervisor hired the secretary because she can make everything well organized.	-1	-1	-1	-1	The inspector hired the Secretary because... She can arrange everything well
The chief employed the receptionist because he was too busy to answer those phone calls by himself every day.	6	1	6	1	The chief employed the receptionist because he was too busy to answer those phone calls on his own every day.
The chief employed the receptionist because she can help to answer and record the phone orders.	6	4	6	4	The chief employed the receptionist because she can help pick up and record the phone invitations.
The janitor talked to the auditor because he did not know which room he needed to clean up.	7	1	7	1	The janitor spoke with the visitor because he did not know which room he had to clean up.
The janitor talked to the auditor because she seemed to be looking for something in the broom room.	-1	-1	-1	-1	The janitor spoke with the visitor that looked. She was looking for something in the broom room.
The analyst goes to the tailor because he needs a new suit for his interview.	7	1	7	1	The analyst goes to the tailor that he needs a new suit for his interview.
The analyst goes to the tailor because everyone knows that she makes the best clothes.	10	5	-1	5	The analyst goes to a tailor because everyone knows she's making the best clothes.
The sheriff asked the nurse to go together because he needs help to deal with the accident.	9	1	9	1	The sheriff asked the nurse to go together. Because he needs help to deal with the accident.
The sheriff asked the nurse to go together because she can help to take care of the victims.	9	4	9	4	The sheriff asked the nurse to go together because... She can help treat the victims.
The janitor asks the receptionist where to go because this is his first day here.	11	1	11	1	The janitor asks the receptionist where to go. ' Cause it's his first day here.
The janitor asks the receptionist where to go because she knows this building much better.	-1	-1	-1	-1	Because she knows the building. Is much better.
The mover hit the tailor because he was careless.	-1	-1	-1	-1	The Munbar hit the tailor because he was careless.
The mover hit the tailor because she stood in the path.	6	4	6	4	The Munbar hit the tailor because she was standing in the way.
The developer complained about the nurse because he received bad service.	-1	-1	-1	-1	The entrepreneur complained about the nurse. Because he got a lousy service.
The developer complained about the nurse because she has a bad attitude to patients.	7	5	7	5	The entrepreneur complained about the nurse that she had a bad attitude toward patients.
The mechanic received a gift from the baker because he helped with repairing the oven.	9	1	9	1	The mechanic got a gift from the ship. Because he helped repair the stove.
The mechanic received a gift from the baker it was her way to express thanks.	-1	-1	-1	-1	The mechanic got a gift from the ship. It was her way of expressing gratitude.
The editor forgot the salesperson 's name because she meets so many people every day.	8	1	9	1	The editor forgot the name of the salesperson because she meets so many people every day.
The editor forgot the salesperson 's name because he there is nothing special about him.	8	4	-1	8	The editor has forgotten the name of the salesperson because there is nothing special about him.
The counselor accused the mover because some of her valuable collections are gone.	-1	-1	-1	-1	The consultant blamed the guide for some. Her precious collections are gone.
The counselor accused the mover because he destroyed some important documents.	-1	-1	-1	-1	The consultant blamed the guide. Because he destroyed important documents
The supervisor told the cleaner the good news that he was going to raise the salary.	-1	-1	-1	-1	The manager told the cleaning lady the news. The best he's going to raise his salary
The supervisor told the cleaner the good news that her salary was going to be raised.	-1	-1	-1	-1	The supervisor said to the cleaning lady the news. The best her salary is going to be raised.
The tailor is the lawyer 's good friend because she can make well-fitting suits.	9	1	10	1	The tailor is the best friend of the lawyer because she can make suits well fitting.
The tailor is the lawyer 's good friend because he needs well-fitting suits.	-1	-1	-1	-1	The tailor is the lawyer's best friend. Because he needs fitting suits.
The secretary texted the cook what he needed to prepare for the boss.	6	4	7	5	The secretary is texting the cook what he is. Need to get ready for the boss.
The secretary texted the cook what she thought the boss wanted to eat.	6	1	7	1	The secretary is texting the cook what she is. Thought the boss wanted to eat.
The secretary took down the farmer 's petition and then she submitted it to her superiors.	10	1	10	1	The secretary lowered the farmer's petition. And submitted it to her superiors.
The secretary took down the farmer 's petition which was the hope to improve his life.	-1	-1	-1	-1	The secretary lowered the peasant's petition that the hope was to improve his life.
The farmer kicked the assistant because he was very angry.	6	1	6	1	The farmer kicked the assistant. Because he was very angry.
The farmer kicked the assistant because she deserved it.	-1	-1	-1	-1	The farmer kicked the assistant. Because she deserved it.
The supervisor criticized the attendant because he could not tolerate any mistakes.	6	1	6	1	The supervisor criticized the caretaker because he could not tolerate any mistakes.
The supervisor criticized the attendant because she made some mistakes.	-1	-1	-1	-1	The supervisor criticized the caretaker for making some mistakes.
The manager fired the librarian because he found a better candidate.	-1	-1	-1	-1	The director fired the librarian. Because he found a better candidate
The manager fired the librarian because she always complained about her work.	6	4	6	4	The principal fired the librarian because she always complained about her work.
The mover is waiting for the nurse because he broke his arm.	-1	-1	-1	-1	The Monbar is waiting for a nurse. Because he broke his arm.
The mover is waiting for the nurse because she can clean the wounds.	-1	-1	-1	-1	The Monbar is waiting for a nurse. Because she can clean up the wounds
The farmer gave the attendant some tips even though he was very poor.	9	1	9	1	The farmer gave the attendant some tips even though he was very poor.
The farmer gave the attendant some tips and she was very glad to receive that.	8	4	8	4	The farmer gave the attendant some tips and she was very happy to accept it.
The counselor warned the developer that she would charge people who break the rules.	6	1	3	1	The counselor warned her entrepreneur. Charge people to break the rules.
The counselor warned the developer that he had to obey the rules.	-1	-1	-1	-1	The counselor warned the entrepreneur that he should obey the laws.
The physician reminded the accountant that he had an appointment with another patient.	-1	-1	-1	-1	The doctor reminded the accountant who has a meeting with another patient.
The physician reminded the accountant that she should take care of her neck.	6	4	6	4	The doctor reminded the accountant that she had to take care of her throat.
The laborer owed the tailor because he was too poor to pay the bill.	-1	-1	-1	-1	Hapoel had to tailor because he was too poor to pay the bill.
The laborer owed the tailor because she offered to make a free suit.	6	4	5	3	Hapoel had to tailor that she offered to make a free suit.
The housekeeper troubles the physician a lot because she knows nothing about the medicine.	8	1	7	1	The housekeeper is very the doctor. Because she doesn't know anything about the medicine.
The housekeeper troubles the physician a lot because he knows about medicine.	-1	-1	-1	-1	The housekeeper bothers the doctor a lot. Because he knows about drugs.
The sheriff protected the tailor in the accident and he received an award for that.	9	1	-1	1	The sheriff defended the tailor in the accident. And received a reward for that.
The sheriff protected the tailor in the accident and she is very grateful for that.	9	4	10	5	The sheriff was defending the tailor in the accident and she was grateful for it.
The driver brought the designer some ideas which he was very proud of.	8	1	8	1	The driver brought the designer some ideas that he was very proud of.
The driver brought the designer some ideas which improved her design a lot.	9	4	-1	4	The driver brought the designer some ideas that improved a lot of its design.
The baker is afraid of the sheriff because she did something wrong.	8	1	8	1	The baker is afraid of the sheriff. Because she did something wrong
The baker is afraid of the sheriff because he looks very serious.	-1	-1	-1	-1	The baker is afraid of the sheriff. Because he looks very serious.
The janitor gave the clerk some documents which included his personal information.	-1	-1	-1	-1	The server gave it to a document clerk. That included his personal information
The janitor gave the clerk some documents which she required.	-1	-1	-1	-1	The janitor gave it to the clerk. Some documents she demanded.
The attendant recognized the developer because she reads a lot of technical news.	-1	-1	-1	-1	The caretaker identified the key because it reads a lot of technical news.
The attendant recognized the developer because he is very famous.	-1	-1	-1	-1	The caretaker identified the entrepreneur because he is very famous.
The writer wrote a book about the carpenter because she was moved by the story.	9	1	-1	1	The writer wrote a book on the carpenter because the story was moved.
The writer wrote a book about the carpenter because his story is very moving.	9	7	9	7	The writer wrote a book on the carpenter that his story was very exciting.
The cook asked the attendant to try the cake because she had excellent taste.	-1	-1	-1	-1	The Cook asked the caretaker to try the cake because she had excellent taste.
The cook asked the attendant to try the cake because he had no other friends.	-1	-1	-1	-1	The massacre asked the caretaker to try the cake because he had no other friends.
The analyst employed the housekeeper because he could not stand housework.	6	1	6	1	The analyst employed the housekeeper because he could not cope with housework.
The analyst employed the housekeeper because she has good at cleaning.	-1	-1	-1	-1	The analyst employed the housekeeper. Because she's good at cleaning.
The guard competed with the attendant for the same job despite the fact that he did want it.	14	1	14	1	The guard competing with the attendant for the same work despite the fact that he did indeed want to.
The guard competed with the attendant for the same job despite the fact that she was more qualified.	14	5	14	5	The guard competed with the attendant for the same work despite the fact that she was more capable.
The physician examined the librarian for eye problems because she read too much.	9	4	9	4	The doctor examined the librarian for eye problems because she read too much.
The physician examined the librarian for eye problems because he had the correct equipment.	-1	-1	-1	-1	The doctor examined the librarian for eye problems because he had the right equipment.
The driver asked the writer to help with a poem because he had never written anything in his life.	11	1	11	1	The driver asked the writer to help with the song because he had never written anything in his life.
The driver asked the writer to help with a poem because she had published many of her poems.	11	4	-1	4	The driver asked the writer to help with the song because he had published many of his poems.
The mover refused to obey the designer because he did not think the pedestal could support the artworks weight.	-1	-1	-1	-1	The Monbar refused to obey the designer because he did not think that the status could support the weight of the pieces.
The mover refused to obey the designer because she gave no evidence that the pedestal could support the artworks weight.	8	6	8	6	The Munbar refused to obey the designer because she did not give evidence that the status could support the weight of the works.
The driver picked up bread from the baker because he was employed as a delivery service.	9	1	8	1	The driver collected bread from the ship. Because he was hired as a delivery service.
The driver picked up bread from the baker because she was too frail.	-1	-1	-1	-1	The driver collected bread from the ship. Because she was too weak
The carpenter tried to prepare for the auditor 's visit but he did not have the correct paperwork.	11	1	10	1	The carpenter tried to prepare for the visitor's visit, but he did not have the proper paperwork.
The carpenter tried to prepare for the auditor 's visit but she demanded too much.	-1	-1	-1	-1	The carpenter tried to prepare for the visitor's visit but she demanded too much.
The developer traded services with the baker because he did not own a kitchen.	-1	-1	-1	-1	The entrepreneur switched services with the baker because he did not have a kitchen.
The developer traded services with the baker because she did not own a computer.	8	6	9	7	The entrepreneur has switched services with the baker because she did not have a computer.
The chief demanded the auditor stop snooping because he thought there was too much danger.	-1	-1	-1	-1	The commander ordered an auditor to stop poking. Because he thought there was too much danger.
The chief demanded the auditor stop snooping because she never paid attention to the danger.	8	4	9	4	The commander ordered an auditor to stop poking. Because she never stopped noticing the danger
The CEO called the teacher to talk about his son 's performance.	8	1	9	1	The CEO called on the teacher to talk about his son's appearance.
The CEO called the teacher to talk about her classrooms disorder.	8	4	8	4	The CEO called the teacher to talk about her classroom disorder.
The physician examined the hairdresser for cuts because she was clumsy with scissors.	-1	-1	-1	-1	The doctor examined the book for cuts because she was clumsy with scissors.
The physician examined the hairdresser for cuts because he was concerned.	-1	-1	-1	-1	The doctor examined the book for cuts that he was concerned about.
The janitor swept up the tailor 's mess because he was told to do so.	9	1	8	1	The janitor washed away the tailor's mess. Because he was told to do it.
The janitor swept up the tailor 's mess because she asked nicely.	-1	-1	-1	-1	The janitor washed away the tailor's mess. Because she asked nicely.
The chief refused to help the attendant with the car because that was not his job.	-1	-1	-1	-1	The commander refused to help the vehicle attendant. Because it wasn't his job.
The chief refused to help the attendant with the car because that was her job.	-1	-1	-1	-1	The commander refused to help the vehicle attendant. Because it was her job.
The laborer wanted to take the attendant 's job because he was tired of manual labor.	-1	-1	-1	-1	Hapoel wanted to take the attendant's work because he had been fed up with manual labor.
The laborer wanted to take the attendant 's job because she was not qualified.	-1	-1	-1	-1	Hapoel wanted to take the attendant's work because it was not certified.
The carpenter asked the editor if he wanted a table.	-1	-1	-1	-1	The Carpenter asked the editor if he wanted a table.
The carpenter asked the editor if she would take the table tomorrow.	6	4	6	4	The Carpenter asked the editor if she would take the table tomorrow.
The sheriff asked the editor to withdraw the story because she always wrote too many details.	10	4	10	4	The sheriff asked the editor to repeat the story because she always wrote too many details.
The sheriff asked the editor to withdraw the story because he could not stand negative press.	10	1	10	1	The sheriff asked the editor to repeat the story because he had not been able to comply with any negative press.
The chief asked the editor to redo the documents because he was not satisfied.	-1	-1	-1	-1	The commander asked the editor to redo the documents because he was not satisfied.
The chief asked the editor to redo the documents because she made significant errors.	10	4	-1	4	The chief asked the editor to redo the documents, because it made significant mistakes.
The cook tried to avoid seeing the auditor because he knew the problems in the kitchen were easy to find.	-1	-1	-1	-1	The massacre tried to avoid seeing the visitor because he knew that the problems in the kitchen were easy to find.
The cook tried to avoid seeing the auditor because she would easily find the problems with the kitchen.	-1	-1	-1	-1	The massacre tried to avoid seeing the visitor because it would easily find the problems with the kitchen.
The salesperson tried to convince the designer that nobody would buy the design because he knew the customers well.	14	1	15	1	The salesperson tried to persuade the designer that no one would buy the design because he knew the customers well.
The salesperson tried to convince the designer that nobody would buy the design because she failed to pick good colors.	14	6	-1	6	The salesperson tried to persuade the designer that no one would buy the design because it was unable to choose good colors.
The sheriff told the counselor that she was under investigation.	-1	-1	-1	-1	The sheriff told the counselor. She's under investigation.
The sheriff told the counselor that he would arrive in the afternoon.	6	1	-1	1	The sheriff told the counselor. He'il be here this afternoon.
The analyst asked the counselor about her hourly rate.	-1	-1	-1	-1	The analyst asked the consultant about the hourly rate.
The analyst asked the counselor about his recent nightmares.	6	1	6	1	The analyst asked the counselor. About his last nightmares.
Last Saturday, the physician called the tailor to fix his suit.	-1	-1	-1	-1	Last Saturday, the doctor called the Tailor. To fix his suit.
Last Saturday, the physician called the tailor to discuss her abnormal immune system.	-1	-1	-1	-1	Last Saturday, the doctor called the Tailor to discuss her abnormal immune system.
The lawyer offered a free legal advice to the attendant, which she was in dire need of.	-1	-1	-1	-1	The lawyer offered free legal advice to the caretaker, and she desperately needed it.
The lawyer offered a free legal advice to the attendant, because he liked to help.	11	1	10	1	The lawyer offered free legal advice to the caretaker because he liked to help.
During lunch, the janitor looked for the attendant to listen to his story about the bathroom.	11	3	11	3	During lunch, the janitor looked for the attendant to listen to his story about the services.
During lunch, the janitor looked for the attendant to steal her food.	-1	-1	-1	-1	At lunch time, the janitor searched. You're the caretaker to steal her food.
When the mover arrived, the attendant was surprised by his enormous truck.	-1	-1	-1	-1	When the usher arrived, the caretaker was surprised by his huge truck.
When the mover arrived, the attendant lent her enormous truck.	-1	-1	-1	-1	When the caretaker arrived, The usher borrowed her giant truck.
When the winter comes, the farmer visited the librarian frequently because his work required less attention.	11	5	11	5	When the winter came, the farmer visited the librarian frequently because his work demanded less attention.
When the winter comes, the farmer visited the librarian frequently because of her hot chocolate.	12	8	11	7	When winter comes, the farmer visited the librarian often because of her hot cocoa.
The assistant hired the driver as she did not have the license yet.	6	1	6	1	The assistant hired the driver. When she hasn't reached the license yet.
The assistant hired the driver as he offered an excellent service.	-1	-1	-1	-1	The assistant hired the driver. When he offered a great service
The chief asked the cleaner to leave immediately after his office was clean.	9	1	9	1	The chief asked the cleaning to leave. Right after his office was clean.
The chief asked the cleaner to leave immediately after she finished cleaning.	-1	-1	-1	-1	The chief asked the cleaning to leave immediately after finishing cleaning.
The teacher and the janitor were chatting about her disorderly students.	8	1	8	1	The teacher and the janitor were chatting. Of her wild pupils.
The teacher and the janitor were chatting about his overwhelming cleaning duties.	8	4	8	4	The teacher and the janitor were chatting. About his overwhelming cleaning debts.
The developer argued with the designer and slapped her in the face.	8	5	8	5	The entrepreneur argued with the designer and slapped her face.
The designer argued with the developer and slapped him in the face.	-1	-1	-1	-1	The designer argued with the entrepreneur and slapped him in the face.
The mechanic gave the clerk a present and wished her happy birthday.	9	4	10	4	The mechanic gave the clerk a gift. And ran for her happy birthday
The clerk gave the mechanic a present and wished him happy birthday.	9	4	9	4	The clerk gave the mechanic a gift. And asked him for a happy birthday.
The mover said thank you to the housekeeper and give her a hug.	-1	-1	-1	-1	The Munbar said thank you to an assistant. The house and embrace it.
The housekeeper said thank you to the mover and give him a hug.	-1	-1	-1	-1	The housekeeper said thank you. To the man in the front and give him a hug.
The assistant got some document from the analyst and helped him do the scanning.	-1	-1	-1	-1	The assistant got a document from the analyst. And helped him do the scan.
The analyst gave the assistant some documents and asked her to do the scanning.	9	4	9	4	The analyst gave the assistant some documents and asked her to perform the scan.
The chief thanked the housekeeper and gave her some tips.	-1	-1	-1	-1	The chief thanked the principal. And gave her some tips.
The housekeeper cleaned the room for the chief and asked him for tips.	-1	-1	-1	-1	The housekeeper cleaned the room. Of the commander and asked him for tips.
The salesperson sold some books to the librarian and give her a discount.	10	7	10	7	The salesperson sold several books to the librarian and gave her a discount.
The librarian gave some books to the salesperson and asked him to read.	10	7	11	8	The librarian gave a few books to the salesperson and asked him to read.
The lawyer yelled at the hairdresser and threaten to sue her.	-1	-1	-1	-1	The lawyer yelled at the book. And threatened to sue her.
The hairdresser yelled at the lawyer and asked him not to come again.	8	5	8	5	The book shouted at the lawyer and asked him not to come again.
The cook prepared a dish for the teacher and hoped her enjoy.	10	7	-1	7	The cook prepared a dish for the teacher and hoped you would enjoy it.
The teacher ordered a dish from the cook and gave him some tips.	-1	-1	-1	-1	The teacher ordered a casserole from the massacre and gave him some tips.
The mover outran the hairdresser and laughed at her.	-1	-1	-1	-1	. And laughed at her
The hairdresser outran the mover and laughed at him.	-1	-1	-1	-1	. And laughed at him
The physician examined the baker and prescribed a drug for her.	-1	4	7	4	The doctor examined the baker and prescribed her medication.
The baker gave the physician a bread and thank him for the help.	-1	-1	-1	-1	The Baker gave the doctor a bread and thanked him for his help.
The farmer gave the housekeeper an apple and wished her had a good day.	9	4	9	4	The farmer gave the housekeeper an apple and wanted her to have a good day.
The housekeeper gave the farmer an apple and wished him had a good day.	9	4	9	4	The housekeeper gave the farmer an apple. And wanted him to have a good day.
The nurse took care of the CEO and gave him some health suggestions.	9	6	9	6	The nurse took care of the CEO and gave him some health offerings.
The CEO ignored the nurse 's suggestions and asked her to leave.	9	4	10	7	The CEO ignored the proposals of the nurse and asked her to leave.
The hairdresser cut the cook 's hair and asked him for tips.	-1	-1	-1	-1	The book cut the chef's hair and asked for tips.
The cook prepared a soup for the hairdresser and asked her for tips.	-1	-1	-1	-1	The cook made soup for his hair and asked for tips.
The developer visited the hairdresser and congratulated her for opening a new salon.	-1	-1	-1	-1	The entrepreneur visited the barbershop and congratulated her on the opening of a new living room.
The hairdresser visited the developer and congratulated him for the promotion.	-1	-1	-1	-1	The book visited the entrepreneur and greeted him for promotion.
The manager spoke with the hairdresser and offered her a new job.	-1	-1	-1	-1	The manager spoke to the hairdresser. And offered her a new job.
The hairdresser spoke with the manager and asked him for help.	-1	-1	-1	-1	The book spoke to the principal and asked for help.
The driver hit the clerk and refused to say sorry to her.	-1	-1	-1	-1	The driver hit the clerk. And refused to apologize to her.
The clerk argued with the driver and refused to pay him tips.	10	5	10	5	The clerk argued with the driver and refused to pay him any tips.
The auditor caught the developer cheating and reported him.	-1	-1	-1	-1	The visitor caught the entrepreneur and reported it.
The developer spoke with the auditor and provide her new documents.	-1	-1	-1	-1	The entrepreneur spoke with the critic and provided her with new documents.
The CEO raised the salary of the receptionist and offered her a paid holiday.	10	7	10	7	The CEO raised the salary of the receptionist and offered her a paid vacation.
The receptionist spoke with the CEO and asked him for a promotion.	8	5	8	5	The receptionist spoke with the CEO and asked him for promotion.
The guard saved the editor from the protestors and drove her home.	-1	-1	-1	-1	The guard saved the editor. The protesters and drove her home.
The editor asked the guard to leave the room and asked him to say nothing.	11	4	11	4	The editor asked the guard to leave the room and asked him not to say anything.
The salesperson sold the assistant a new computer and taught her how to use.	10	4	10	7	The salesperson sold to a new computer assistant and taught her how to use.
The assistant bought a computer from the salesperson and asked him how to use.	10	7	-1	7	The assistant bought a computer from the salesperson and asked how to use.
The auditor bought the guard a gift and wish him had a nice holiday.	-1	-1	-1	-1	The visitor bought a gift guard. And wish him a pleasant vacation.
The guard bought the auditor a gift and wish her had a nice holiday.	-1	-1	-1	-1	The guard bought the visitor a gift. And would like a nice vacation.
The secretary called the mover and asked him to come.	-1	-1	-1	-1	The secretary called the janitor. And asked him to come
The mover called the secretary and asked her to come.	-1	-1	-1	-1	The Monbar called the secretary. And asked her to come over.
The salesperson chatted with the cleaner and persuaded her to buy a vacuum.	-1	-1	-1	-1	The salesman talked to the cleaning lady and persuaded her to buy a vacuum.
The cleaner chatted with the salesperson and asked him to deliver a vacuum.	8	5	8	5	The maid spoke to the salesperson and asked him to move a vacuum.
The farmer called the designer and asked her to design a website.	7	4	7	4	The farmer called the designer and asked her to design a website.
The designer called the farmer and asked him a few questions.	7	4	7	4	The designer called the farmer and asked him some questions.
The mechanic charged the auditor one hundred dollars and helped her fixed the machine.	-1	-1	-1	-1	The mechanic blamed the critic. 100 dollars and helped her fix the machine.
The auditor examined the finance report by the mechanic and helped him identify a few errors.	-1	-1	-1	-1	The visitor examined the mechanic's finances report and helped him identify some errors.
The manager fired the baker and asked her to leave.	-1	-1	-1	-1	The principal shot the baker. And asked her to leave.
The baker argued with the manager and threw him a bread.	-1	-1	-1	-1	The Baker argued with the director. And threw it in the bread.
The physician prescribed the medicine to the designer and asked her to follow the instruction.	10	7	10	7	The doctor prescribed the medicine to the designer and asked her to do the teaching.
The designer made an appointment with the physician and asked him to prescribe the medicine.	-1	-1	-1	-1	The designer set up a meeting with the doctor and asked him to prescribe the medication.
The laborer raced against the hairdresser and outran her.	-1	-1	-1	-1	Hapoel faced the book and beat it.
The hairdresser raced against the laborer and outran him.	-1	5	-1	4	The book faced the laborer and beat him.
The physician owed the cashier money and refused to pay her back.	-1	-1	-1	-1	The doctor owed the cashier's money and refused to pay her back.
The cashier owed the physician money and refused to pay him back.	-1	-1	-1	-1	The cashier owed a doctor money and refused to pay him back.
The hairdresser shouted at the driver and got out of his car.	10	5	8	5	The book shouted at the driver and left his car.
The driver shouted at the hairdresser and asked her to get out of the car.	-1	-1	-1	-1	The driver shouted at the book and asked her to get out of the car.
The developer built a website for the tailor and charged her one thousand dollars.	10	7	-1	8	The entrepreneur built a Web site for the tailor and blamed it for 1000 dollars.
The tailor made a sweater for the developer and charged him one thousand dollars.	-1	-1	-1	-1	The tailor prepared a sweater for the entrepreneur and blamed it for 1000 dollars.
The farmer gave the tailor a bag of apples and asked her to make a sweater.	11	4	10	4	The farmer gave the tailor an apple bag and asked her to make a sweater.
The tailor gave the farmer a sweater and asked him to put on.	-1	-1	-1	-1	The tailor gave the rancher a sweater and asked him to wear it.
The mechanic called the editor and told her to get the car back.	-1	-1	-1	-1	The mechanic called the editor. And told her to bring the car back.
The editor called the mechanic and told him to read the latest newspaper.	7	4	7	4	The editor called a mechanic and told him to read the last paper.
The receptionist welcomed the lawyer and gave him a candy.	7	4	7	4	The receptionist welcomed her lawyer and gave him a treat.
The lawyer spoke with the receptionist and asked her to do a favor.	8	5	8	5	The lawyer spoke to the receptionist and asked her to do a favor.
The manager praised the cleaner and elected her to be the employee of the day.	-1	-1	-1	-1	The director praised the housekeeper and chose her to be the employee of the day.
The cleaner wrote to the manager and ask him for advice.	-1	-1	-1	-1	The janitor wrote to the manager. And asked him for advice.
The cleaner hated the developer and refused to clean his room.	-1	-1	-1	-1	The Cleaner hated the entrepreneur and refused to clean his room.
The developer hated the cleaner and reported her to the manager.	-1	-1	-1	-1	The entrepreneur hated The Cleaner and reported her to the manager.
The mechanic hired the assistant and gave her an orientation.	-1	-1	-1	-1	The mechanic hired the assistant. And gave her a orientation
The assistant asked the mechanic a few questions and thank him for the help.	10	4	12	4	The assistant asked the mechanic a few questions and thanked him for his help.
The writer interviewed the manager and asked him a few questions.	7	4	7	4	The writer interviewed the manager and asked him some questions.
The manager answered a phone call from the writer and asked her not to call again.	11	8	11	8	The manager answered a phone call from the writer and asked her not to call again.
The physician saw the nurse and called her to do the CPR.	7	4	7	4	The doctor saw the nurse and called. Her to do CPR.
The nurse saw the physician and asked him to take a look at the patient.	-1	-1	-1	-1	The nurse saw the doctor and asked him to take a look at the patient.
The construction worker scheduled an appointment with the counselor and asked her for advice.	-1	-1	-1	-1	The construction worker set up a meeting with the consultant and asked her for advice.
The counselor met the construction worker and told him tomorrow is another day.	8	4	8	4	The counselor met the construction worker and told him that we would be another day tomorrow.
The editor called the construction worker and asked him what happened.	-1	-1	-1	-1	The editor called the building worker and asked him what had happened.
The construction worker called the editor and told her the whole story.	8	5	8	5	The construction worker called the editor and told her the whole story.
